Iteration,taper,core_delta,core_diam,Throughput,TF_1,TF_2,TF_3,TF_4,TF_5,TF_6,TF_7,TF_8,TF_9,TF_10,TF_11,TF_12,TF_13,TF_14,TF_15,TF_16,TF_17,TF_18,TF_19,TF_20,TF_21,TF_22,TF_23,TF_24,TF_25,TF_26,TF_27,TF_28,TF_29,TF_30,TF_31,TF_32,TF_33,TF_34,TF_35,TF_36,TF_37,TF_38,TF_39
1,10,0.0122895,6.5,152.6678,0.0,0.0793138,332.3879,2.5245e-09,71.99921,0.0793138,152.388,0.190001,315.879,0.1340353,281.5343,0.1340354,101.5344,0.1900009,135.879,0.1594303,332.6678,0.2669288,281.875,1.383817e-09,345.8285,0.2669288,101.875,0.1594303,152.6678,0.1900009,315.879,0.1340354,281.5343,0.1340353,101.5343,0.190001,135.879,0.0793138,332.388,1.917039e-09,221.5997,0.0793138,152.3879
1,10,0.0122895,6.5,295.3157,0.0,0.08246689,295.1724,0.119903,279.6666,0.0824669,295.1725,0.1198515,279.3671,0.2034715,247.0855,0.2034715,247.0855,0.1198516,279.367,0.08228815,295.3157,0.2030052,247.0581,0.2428415,232.5318,0.2030052,247.0581,0.08228814,295.3157,0.1198516,279.367,0.2034715,247.0855,0.2034715,247.0855,0.1198515,279.3671,0.0824669,295.1724,0.119903,279.6666,0.08246689,295.1724
1,10,0.0122895,6.5,68.45132,0.0,0.1378879,332.5287,0.2188665,315.8096,0.1378879,332.5287,0.1093668,315.688,0.2318717,281.735,0.2318717,281.735,0.1093668,315.688,5.545661e-08,251.5574,1.358043e-08,338.8063,4.189651e-09,65.9669,1.730807e-08,120.405,6.227201e-08,68.45132,0.1093668,135.688,0.2318717,101.735,0.2318717,101.735,0.1093668,135.688,0.1378879,152.5287,0.2188665,135.8095,0.1378879,152.5287
